what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.jst.ws.consumption.ui,1.1.105.v200908192014,"org.eclipse.jst.ws.consumption.ui",1268462620419
stopped,bundle,org.eclipse.jst.ws.consumption,1.0.407.v200905191120,"org.eclipse.jst.ws.consumption",1268462620419
stopped,bundle,org.eclipse.jst.ws.uddiregistry,1.0.400.v200901261650,"org.eclipse.jst.ws.uddiregistry",1268462620419
stopped,bundle,org.eclipse.jst.ws.ui,1.0.402.v200903111822,"org.eclipse.jst.ws.ui",1268462620419
stopped,bundle,org.eclipse.jst.ws.cxf.consumption.core,0.4.0.v200909102327,"org.eclipse.jst.ws.cxf.consumption.core",1268462620420
stopped,bundle,org.eclipse.jst.ws.cxf.creation.core,0.4.0.v200909102327,"org.eclipse.jst.ws.cxf.creation.core",1268462620420
stopped,bundle,org.eclipse.jst.ws.cxf.ui,0.4.0.v200908272123,"org.eclipse.jst.ws.cxf.ui",1268462620420
stopped,bundle,org.eclipse.jst.ws.cxf.core,0.4.3.v200908272123,"org.eclipse.jst.ws.cxf.core",1268462620420
stopped,bundle,org.eclipse.jst.ws.jaxws.ui,0.5.2.v200908272123,"org.eclipse.jst.ws.jaxws.ui",1268462620421
stopped,bundle,org.eclipse.jst.ws.jaxws.core,0.5.2.v200908272123,"org.eclipse.jst.ws.jaxws.core",1268462620421
stopped,bundle,org.eclipse.jst.ws,1.0.407.v200905191120,"org.eclipse.jst.ws",1268462620421
stopped,bundle,org.eclipse.wst.ws.explorer,1.0.407.v200903301628,"org.eclipse.wst.ws.explorer",1268462620421
stopped,bundle,org.eclipse.wst.wsdl.ui,1.2.202.v200904271449,"org.eclipse.wst.wsdl.ui",1268462620422
stopped,bundle,org.eclipse.wst.ws.ui,1.1.100.v200903112221,"org.eclipse.wst.ws.ui",1268462620422
stopped,bundle,org.eclipse.wst.wsi.ui,1.0.500.v200901141851,"org.eclipse.wst.wsi.ui",1268462620422
stopped,bundle,org.eclipse.wst.wsi,1.0.305.v200902181431,"org.eclipse.wst.wsi",1268462620422
stopped,bundle,org.eclipse.wst.ws,1.1.103.v200903111822,"org.eclipse.wst.ws",1268462620422
stopped,bundle,org.eclipse.jst.j2ee.webservice.ui,1.1.300.v200902052230,"org.eclipse.jst.j2ee.webservice.ui",1268462620422
stopped,bundle,org.eclipse.jst.j2ee.webservice,1.1.300.v200901220600,"org.eclipse.jst.j2ee.webservice",1268462620422
stopped,bundle,org.eclipse.wst.ws.parser,1.0.402.v200901220107,"org.eclipse.wst.ws.parser",1268462620422
stopped,bundle,commonj.sdo,2.1.1.v200905221342,"commonj.sdo",1268462620423
stopped,bundle,org.eclipse.datatools.enablement.oda.ws.ui,1.2.1.v200906230955,"org.eclipse.datatools.enablement.oda.ws.ui",1268462620423
stopped,bundle,org.eclipse.datatools.enablement.oda.ws,1.2.1.v200907300941,"org.eclipse.datatools.enablement.oda.ws",1268462620423
stopped,bundle,org.eclipse.wst.wsdl,1.2.1.v200908101510,"org.eclipse.wst.wsdl",1268462620423
stopped,bundle,org.eclipse.wst.wsdl.validation,1.1.401.v200902271605,"org.eclipse.wst.wsdl.validation",1268462620423
